"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Jane Eyre","Companion to Jane Eyre","013291362","Monograph","Language material ; Text","Volume","GBA576996","","9780861678433","Murray, Patrick","1935-","person","","Murray, Patrick, 1935- [person]","Companion series notes","","Ireland","Dublin","Edco","2000","","iv, 98 pages, 21 cm","","","Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"Jane Eyre","Cranford ; Pride and prejudice","000144684","Monograph","Language material ; Text","Volume","","","","","","","","Gaskell, Elizabeth Cleghorn, 1810-1865 [person] ; Brontë, Charlotte, 1816-1855 [person] ; Austen, Jane, 1775-1817 [person]","","","England ; Scotland","Glasgow ; London","Collins","1934","","3 parts, 8°","","12602.s.33","","","English","",""
"Jane Eyre","Die Waise aus Lowood : Schauspiel in zwei Abteilungen und vier Aufzügen : mit freier Benutzung des Romans von Currer Bell","000355855","Monograph","Language material ; Text","Volume","","","","Birch-Pfeiffer, Charlotte","1800-1868","person","","Birch-Pfeiffer, Charlotte, 1800-1868 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","Germany","Leipzig","","1892","","107 pages (8°)","","11746.df.11","","","German","",""
"Jane Eyre","Dzheĭn Ėir̆ : roman ; Stikhotvorenii︠a︡ ; Jane Eyre.Russian ; Poems. Selections. Russian ; Works. Selections. Russian","011853895","Monograph","Language material ; Text","Volume","","","9785280012059 ; 9785280012066","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Sestry Bronte","kn. 1 [Sestry Bronte]","Russia","Moskva","Khudozhestvennai︠a︡ literatura","1990","","415 pages, illustrations, 22 cm","","YA.1995.a.15688","","","Russian","Translation of: Jane Eyre and selected poetry",""
"Jane Eyre","Early learning guide to Charlotte Bronte's Jane Eyre","018692941","Monograph","Language material ; Still image ; Text","Volume","GBB817465","","9780998820507","Medina, Melissa","","person","author","Colting, Fredrik, author [person] ; Brontë, Charlotte, 1816-1855 [person] ; Andronic, Madalina, artist [person] ; Medina, Melissa, author [person]","","","United States of America","Los Angeles","Kinderguides","2018","","1 volume, colour illustrations, 25 cm","813.6","","Brontë, Charlotte, 1816-1855--Juvenile literature","Children's fiction ; Children's literature ; Historical fiction","English","",""
"Jane Eyre","Et Vaisenhuusbarn : Folkecomedie med Sang i 4 Akter : Efter en fri Bearbeidelse af Romanen 'Jane Eyre.'","003746105","Monograph","Language material ; Text","Volume","","","","","","","","Brontë, Charlotte, 1816-1855 [person]","","","Denmark","Kjøbenhavn","P.G. Philipsens","1859","","139 pages (8°)","","11754.b.75. (1.)","","","Danish","",""
"Jane Eyre","I Take this Woman : The film title of the famous novel Jane Eyre [Abridged.]","000485670","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Novel Library","","England","London","London Book","1931","","253 pages (8°)","","12607.a.1/71","","","English","",""
"Jane Eyre","Independence ; Villette","019665741","Monograph","Language material ; Text","Volume","GBC002664","","9781784876050","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855 [person] ; Brontë, Charlotte, 1816-1855, author [person]","Vintage minis","","England","London","Vintage Classics","2020","","1 volume, 18 cm","823.8","","Autonomy (Psychology)--Fiction","Fiction","English","Additional physical form: ebook version. 9781473575363",""
"Jane Eyre","Independence ; Villette","019666971","Monograph","Language material ; Text","Online resource (ePub ebook)","GBC003894","","9781473575363","Brontë, Charlotte","1816-1855","person","author","Brontë, Charlotte, 1816-1855 [person] ; Brontë, Charlotte, 1816-1855, author [person]","Vintage minis","","England","London","Vintage Digital","2020","","1 online resource","823.8","ELD.DS.483803","Autonomy (Psychology)--Fiction","Fiction","English","Additional physical form: Print version. 9781784876050",""
"Jane Eyre","Jane Eyre : a counting primer","016009882","Monograph","Language material ; Text","Volume","GBB204145","","9781423624745","Adams, Jennifer","1970-","person","author","Oliver, Alison, illustrator [person] ; Brontë, Charlotte, 1816-1855 [person] ; Adams, Jennifer, 1970-, author [person]","Little Miss Bronte","","England ; United States of America","Enfield ; Salt Lake City, Utah","Gibbs Smith","2012","","1 volume, colour illustrations, 18 cm","813.6","CLE.2012.a.429","Counting--Juvenile literature","Board book ; Children's fiction ; Children's literature","English","Board book",""
"Jane Eyre","Jane Eyre : a drama in five acts","011526474","Monograph","Language material ; Text","Microfilm","","","","Brougham, John","1810-1880","person","","Brougham, John, 1810-1880 [person] ; Brontë, Charlotte, 1816-1855 [person]","French's American drama. The acting edition","no 136 [French's American drama. The acting edition]","United States of America","New York","S. French","1965","","32 pages","","MFR-3018 *3525*","","","English","",""
"Jane Eyre","Jane Eyre : a drama of passion in three acts ... Dramatized from Charlotte Brontë's novel","001866253","Monograph","Language material ; Text","Volume","","","","Jerome, Helen","1883-1958","person","","Jerome, Helen, 1883-1958 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Hamish Hamilton","1936","","110 pages (8°)","","011779.k.110","","","","",""
"Jane Eyre","Jane Eyre : a drama, in five acts","000490082","Monograph","Language material ; Text","Volume","","","","Brougham, John","1810-1880","person","","Brougham, John, 1810-1880 [person] ; Brontë, Charlotte, 1816-1855 [person]","Dicks' standard plays","number 400 [Dicks' standard plays]","England","London","","1883","","16 pages, illustrations, 19 cm","","11770.bbb.4/400","","","English","",""
"Jane Eyre","Jane Eyre : a play from the novel by Charlotte Brontë","000806596","Monograph","Language material ; Text","Volume","","","","Cox, Constance","","person","","Cox, Constance [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","J. Garnett Miller","1959","","viii, 76 pages (8°)","","11411.e.72 ; W73/5528","","","English","",""
"Jane Eyre","Jane Eyre : adapted form Charlotte Brontë's novel","012045497","Monograph","Language material ; Text","Volume","GB98Y9953","","9781854593290","Teale, Polly","","person","","Teale, Polly [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Nick Hern","1998","","85 pages, 20 cm","822.914","YC.1998.a.3723","Governesses--England--Drama ; England--Social life and customs--19th century--Drama","","English","",""
"Jane Eyre","Jane Eyre : an opera in 2 acts ; Jane Eyre. Vocal score","014482569","Monograph","Notated music","Volume","","","","Berkeley, Michael","","person","","Brontë, Charlotte, 1816-1855 [person] ; Malouf, David, 1934- [person] ; Berkeley, Michael [person]","","","England","Oxford","Music Hire Library ; Oxford University Press","2000","","1 score (169 pages), 30 cm","782.10264","G.1111.bb. (1.)","Operas--Vocal scores with piano ; Governesses--England--Drama","Drama ; Vocal score","English","Acc. arr. for piano ; Act 1 engraved, act 2 reproduced from manuscript ; Adapted from the novel by Charlotte Brontë",""
"Jane Eyre","Jane Eyre : an opera in three acts. Act I ; Jane Eyre. Act 1","017348649","Monograph","Notated music","Volume","","","","Karchin, Louis","","person","composer","Karchin, Louis, composer [person] ; Osen, Diane, 1956- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","American Composers Alliance","2013","Full score","1 score (239 pages), 44 cm","782.1","I.660.x./1","Operas--Excerpts--Scores","Excerpt","English","",""
"Jane Eyre","Jane Eyre : drama ... adapted from Charlotte Bronte's novel, etc","000490081","Monograph","Language material ; Text","Volume","","","","Brougham, John, comedian","","person","","Brougham, John, comedian [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Samuel French","1865","","32 pages (12°)","","11791.cc.25. (2.)","","","English","",""
"Jane Eyre","Jane Eyre : drama ... adapted from Charlotte Bronte's novel, etc","016906388","Monograph","Language material ; Text","Online resource","","","","Brougham, John, comedian","","person","","Brougham, John, comedian [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Samuel French","1865","","32 pages (12°)","","Digital Store 11791.cc.25. (2.)","","","English","",""
"Jane Eyre","Jane Eyre : dramatised from Charlotte Brontë's novel","001866256","Monograph","Language material ; Text","Volume","","","","Jerome, Helen","1883-1958","person","","Jerome, Helen, 1883-1958 [person] ; Brontë, Charlotte, 1816-1855 [person]","French's Acting Edition","","England","London","","1938","","64 pages (8°)","","11791.tt.1/347","","","","",""
"Jane Eyre","Jane Eyre : from the story by Charlotte Bronte","007715259","Monograph","Language material ; Text","Volume","GBA3V6581","","9780746057520","Claybourne, Anna","","person","","Harvey, Bob [person] ; Claybourne, Anna [person] ; Brontë, Charlotte, 1816-1855 [person]","Usborne classics","","England","London","Usborne","2003","","176 pages, colour illustrations, 20 cm","823.914","H.2005/368","Governesses--England--Juvenile fiction ; England--Social life and customs--Juvenile fiction","Children's fiction","English","",""
"Jane Eyre","Jane Eyre : teacher's book","015295502","Monograph","Language material ; Text","Volume","GBA961144","","9781848623392","Dooley, Jenny","","person","","Brontë, Charlotte, 1816-1855 [person] ; Dooley, Jenny [person]","Classic readers","","England","Newbury","Express","2008","","62 pages, illustrations, 21 cm","","","Readers ; English language--Textbooks for foreign speakers","Textbook","English","Cover title ; Previous edition: 2003",""
"Jane Eyre","Jane Eyre by Charlotte Brontë","010056188","Monograph","Language material ; Text","Volume","GB8800680","","9780333434093","Miles, Robert","1953-","person","","Miles, Robert, 1953- [person] ; Brontë, Charlotte, 1816-1855 [person]","Macmillan master guides","","England","Basingstoke","Macmillan","1988","","viii, 88 pages, 22 cm","823.8","YC.1988.a.14932","Fiction in English--Brontë, Charlotte--1816-1855 ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre","Jane Eyre laid bare : the classic novel with an erotic twist","017009996","Monograph","Language material ; Text","Volume","GBB505128","","9781447292548","Sinclair, Eve","","person","author","Brontë, Charlotte, 1816-1855 [person] ; Sinclair, Eve, author [person]","","","England","London","Macmillan","2015","","1 volume, 24 cm","813.6","","","Erotic fiction","English","Originally published: London: Pan, 2012",""
"Jane Eyre","Jane Eyre on stage, 1848-1898 : an illustrated edition of eight plays with contextual notes","013710390","Monograph","Language material ; Text","Volume","GBA748823","","9780754603481","","","","","Stoneman, Patsy [person] ; Brontë, Charlotte, 1816-1855 [person]","The nineteenth century series","","England","Aldershot","Ashgate","2007","","xi, 440 pages, illustrations, 24 cm","822.808351","YC.2007.a.13489 ; m07/.25863","Governesses--Drama ; Eyre, Jane (Fictitious character)--Drama ; English drama--19th century ; Brontë, Charlotte, 1816-1855--Adaptations","Adaptation ; Drama","English","",""
"Jane Eyre","Jane Eyre on stage, 1848-1898 : an illustrated edition of eight plays with contextual notes","018255081","Monograph","Language material ; Text","Online resource","GBB799403","","9781351925631","","","","","Stoneman, Patsy [person] ; Brontë, Charlotte, 1816-1855 [person]","The nineteenth century series","","","","Routledge","2017","","1 online resource (456 pages)","822.808351","ELD.DS.122757","Governesses--Drama ; Eyre, Jane (Fictitious character)--Drama ; English drama--19th century ; Brontë, Charlotte, 1816-1855--Adaptations","Adaptation ; Drama","English","",""
"Jane Eyre","Jane Eyre's daughter","014771684","Monograph","Language material ; Text","Volume","GBA8B6489","","9781402212376","Newark, Elizabeth","","person","","Newark, Elizabeth [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","Naperville, Illinois","Sourcebooks Casablanca","2008","","xxxii, 303 pages, 20 cm","813.54","H.2009/2765","Yorkshire (England)--History--19th century--Fiction ; Mothers and daughters--Fiction ; Eyre, Jane (Fictitious character)--Fiction","Fiction","English","",""
"Jane Eyre","Jane Eyre, Charlotte Brontë","008117700","Monograph","Language material ; Text","Volume","GB8705808","","9780850977745","Mahoney, John","1940 February 23-","person","","Martin, Stewart, 1948- [person] ; Brontë, Charlotte, 1816-1855 [person] ; Mahoney, John, 1940 February 23- [person]","Letts study aids","","England","London","Letts","1987","","80 pages, 1 map, 30 cm","823.8","YC.1988.b.7035","Fiction in English--Brontë, Charlotte ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre","Jane Eyre, Charlotte Brontë","017418494","Monograph","Language material ; Text","Volume","GBB582690","","9780198355298","Smith, Alison","","person","author ; critic","Smith, Alison, author ; critic [person] ; Brontë, Charlotte, 1816-1855 [person]","Oxford literature companions","","England","Oxford","Oxford University Press","2016","","111 pages, illustrations (black and white and colour), 22 cm","823.8","YKL.2017.a.10975","English fiction--19th century--Study guides ; English fiction--19th century--History and criticism ; Brontë, Charlotte, 1816-1855","Study guide","English","",""
"Jane Eyre","Jane Eyre, Charlotte Brontë","018118561","Monograph","Language material ; Text","Volume","GBB938767","","9780995608634","","","","","Brontë, Charlotte, 1816-1855 [person]","The quotation bank","","England","Swindon","Esse Publishing","2016","","43 pages, 11 x 15 cm","823.8","YKL.2019.a.1360","Eyre, Jane, (Fictitious character)--In literature ; Brontë, Charlotte, 1816-1855","","English","",""
"Jane Eyre","Jane Eyre, Charlotte Brontë, retold by Jenny Dooley : teacher's book","007693282","Monograph","Language material ; Text","Volume","GBA414406","","9781844661992","","","","","Dooley, Jenny [person]","Classic readers","","England","Newbury","Express","2003","","64 pages, colour illustrations, 21 cm","372.412","","Brontë, Charlotte, 1816-1855--Study and teaching (Elementary) ; English language--Study and teaching (Elementary) ; Readers (Elementary)","","English","",""
"Jane Eyre","Jane Eyre, French","009989814","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Geux-Rolle, Henriette [person]","","","Switzerland","Lausanne","La Guilde du livre","1960","","269 pages","","YA.1994.a.8099","Fiction in English--1837-1900--Translations","","French","",""
"Jane Eyre","Jane Eyre. Dutch","012075354","Monograph","Language material ; Text","Volume","","","9789020452945","Brontë, Charlotte","1816-1855","person","","Foeken-Visser, M. [person] ; Brontë, Charlotte, 1816-1855 [person]","Amstel klassiek","","Netherlands","Utrecht","Veen","1985","","445 pages","","YA.1986.a.10231","Fiction in English--1837-1900--Translations","","Dutch","",""
"Jane Eyre","Jane Eyre. French","000259291","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Lesbazeilles, E. (Eugène), 1826- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","France","Paris","L. Hachette","1859","","ii, 459 pages, 18 cm","","1609/6064","","","French","",""
"Jane Eyre","Jane Eyre. French","017547941","Monograph","Language material ; Text","Online resource","","","","Brontë, Charlotte","1816-1855","person","","Lesbazeilles, E. (Eugène), 1826- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","France","Paris","L. Hachette","1859","","ii, 459 pages, 18 cm","","Digital Store 1609/6064","","","French","",""
"Jane Eyre","Jane Eyre. Hungarian","000259293","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Huszár, Imre [person] ; Brontë, Charlotte, 1816-1855 [person]","","","Hungary","Budapest","","1873","","2 volumes (8°)","","12603.ff.17","","","Hungarian","",""
"Jane Eyre","Jane Eyre. Hungarian","008189875","Monograph","Language material ; Text","Volume","","","9789630730112","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Ruzitska, Mária [person]","Világirodalom klasszikusai. Új sorozat","","Hungary","Budapest","Europa","1984","","620 pages","","YA.1988.a.838","Fiction in English--1837-1900--Translations","","Hungarian","",""
"Jane Eyre","Jane Eyre. Libretto","010661679","Monograph","Language material ; Text","Volume","GBA053680","","9780099286264","Berkeley, Michael","","person","","Brontë, Charlotte, 1816-1855 [person] ; Malouf, David, 1934- [person] ; Berkeley, Michael [person]","","","England","London","Vintage","2000","","xi, 27 pages, 20 cm","782.10268","YK.2001.a.9944","Governesses--England--Drama","Drama","English","'A libretto ... for an opera by Michael Berkeley' - front cover",""
"Jane Eyre","Jane Eyre. Spanish","011153050","Monograph","Language material ; Text","Volume","","","9788489846869","Brontë, Charlotte","1816-1855","person","","Martín Gaite, Carmen [person] ; Brontë, Charlotte, 1816-1855 [person]","Clásica maior","","Spain","Barcelona","Alba","1999","","692 pages, 23 cm","","YA.2001.a.24539","","","Spanish","",""
"Jane Eyre","Jane Eyre. Swedish","000485668","Monograph","Language material ; Text","Volume","","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Backman, Carl Johan [person]","","","","Stockholm","","1894","","463 pages (8°)","","12603.i.13","","","Swedish","",""
"Jane Eyre","Jane Slayre","015557754","Monograph","Language material ; Text","Volume","GBB063691","","9780857200037","Erwin, Sherri Browning","","person","","Erwin, Sherri Browning [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Pocket","2010","","396 pages, 21 cm","813.6","H.2012/.8689","Governesses--Fiction ; Vampires--Fiction ; England--Social life and customs--Fiction","Fiction ; Humour or satire","English","",""
"Jane Eyre","Jane","015610992","Monograph","Language material ; Text","Volume","GBB089255","","9780316084208","Lindner, April","","person","","Lindner, April [person] ; Brontë, Charlotte, 1816-1855 [person]","","","United States of America","New York","Poppy","2010","","373 pages, 22 cm","813.6","Nov.2011/1365","Rock musicians--Fiction ; Secrecy--Fiction ; Nannies--Fiction","Fiction ; Romance fiction","English","",""
"Jane Eyre","Jane","015841229","Monograph","Language material ; Text","Volume","GBB180600","","9780316084192","Lindner, April","","person","","Lindner, April [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Poppy","2011","","373 pages, 22 cm","813.6","","Rock musicians--Fiction ; Secrecy--Fiction ; Nannies--Fiction","Fiction ; Romance fiction ; Young adult fiction","English","Based on novel, Jane Eyre by Charlotte Brontë",""
"Jane Eyre","Kitty Bell, the Orphan : possibly an earlier version of Charlotte Brontë's 'Jane Eyre.' Written circa 1844 and published as the work of Eugène Sue. With an introduction by Mrs. Ellis H. Chadwick [and illustrations]","003538299","Monograph","Language material ; Text","Volume","","","","Sue, Eugène","1804-1857","person","","Chadwick, Esther Alice [person] ; Sue, Eugène, 1804-1857 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Sir Isaac Pitman","1914","","xxviii, 146 pages (8°)","","NN.1886","","","","",""
"Jane Eyre","L'Orfanella di Lowood : Dramma in due parti, diviso in un prologo e tre atti","002483951","Monograph","Language material ; Text","Volume","","","","Michély, R.","","person","","Michély, R. [person] ; Brontë, Charlotte, 1816-1855 [person]","L'Ape Drammatica","series I, volume 5, Puntata 50 [L'Ape Drammatica]","","Napoli","","1874","","48 pages (8°)","","11715.ee.6","","","Italian","A drama based on Charlotte Brontë's 'Jane Eyre'",""
"Jane Eyre","Mrs Rochester : the surprising sequel to Jane Eyre","010521005","Monograph","Language material ; Text","Volume","","","9781869503659","Blanchett, Warwick","","person","","Brontë, Charlotte, 1816-1855 [person] ; Blanchett, Warwick [person]","","","New Zealand","Auckland, New Zealand","HarperCollins","2000","","288 pages, 20 cm","","YA.2000.a.42220","Oceania--History--19th century--Fiction ; Family--Fiction ; Young men--Fiction ; Widows--Fiction","Fiction ; Romance fiction","English","",""
"Jane Eyre","Mrs Rochester","011349207","Monograph","Language material ; Text","Volume","GB9775270","","9780671516727","Bailey, Hilary","1936-","person","","Bailey, Hilary, 1936- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Pocket","1997","","279 pages, 18 cm","823.914","H.2001/5434","","","English","'A sequel to Jane Eyre' -- Cover ; TV tie-in",""
"Jane Eyre","Mrs Rochester","017964995","Monograph","Language material ; Text","Online resource","GBB6I4838","","9781448209217","Bailey, Hilary","1936-","person","","Bailey, Hilary, 1936- [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Bloomsbury","2012","","1 online resource","823.914","ELD.DS.73776","Man-woman relationships ; Romance ; Historical fiction ; Blind ; Blind--Fiction ; Man-woman relationships--England--Fiction ; Fiction--Historical ; Manners and customs ; England--Social life and customs--19th century--Fiction ; Historical romance","Fiction","English","Originally published: London: Pocket, 1997 ; Sequel to: Jane Eyre",""
"Jane Eyre","Paula Rego : Jane Eyre : 18 April-14 July 2002","016054328","Monograph","Language material ; Text","Volume","GBB266677","","9780900955976","Rego, Paula","","person","","Rego, Paula [person] ; Yale Center for British Art [organisation]","","","United States of America","New Haven","Yale Center for British Art","2002","","16 pages, chiefly colour illustrations, 30 cm","769.92","LD.31.b.3127","Rego, Paula--Exhibitions ; Brontë, Charlotte, 1816-1855--Illustrations--Exhibitions ; Eyre, Jane (Fictitious character)--Exhibitions","Exhibition","English","Catalog of the exhibition held at the Yale Center for British Art, New Haven",""
"Jane Eyre","Reader, I married him : stories inspired by Jane Eyre","018163962","Monograph","Language material ; Text","Volume","GBB701179","","9781785413285","","","","","Brontë, Charlotte, 1816-1855 [person] ; Chevalier, Tracy, editor [person]","","","England","Oxford","ISIS","2017","","1 volume (large print)","823.0108092","","Large type books ; Eyre, Jane, (Fictitious character)--Fiction ; Short stories, English ; Short stories, American","Fiction","English","Standard print edition originally published: London: The Borough Press, 2016",""
"Jane Eyre","Reader, I married him : stories inspired by Jane Eyre","018213443","Monograph","Language material ; Text","Volume","GBB716513","","9780008150600","","","","","Brontë, Charlotte, 1816-1855 [person] ; Chevalier, Tracy, editor [person]","","","England","London","Borough Press","2017","","1 volume, 20 cm","823.0108092","","Eyre, Jane, (Fictitious character)--Fiction ; Short stories, English ; Short stories, American","Fiction","English","",""
"Jane Eyre","Reader, I married him : stories inspired by Jane Eyre","018667434","Monograph","Language material ; Text","Volume","GBB802665","","9781785413346","","","","","Brontë, Charlotte, 1816-1855 [person] ; Chevalier, Tracy, editor [person]","","","England","Oxford","ISIS","2018","","1 volume, 24 cm","823.0108092","","Eyre, Jane, (Fictitious character)--Fiction ; Short stories, English ; Short stories, American","Fiction","English","Standard print edition originally published: London: The Borough Press, 2017",""
"Jane Eyre","Reader, I married him","017695886","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB604312","","9780008150594","","","","","Brontë, Charlotte, 1816-1855 [person] ; Chevalier, Tracy, editor [person]","","","England","London","Borough Press","2016","Epub edition","1 online resource","823.0108092","ELD.DS.61050","Eyre, Jane, (Fictitious character)--Fiction ; Short stories, English ; Short stories, American","Fiction","English","Additional physical form: Print version. 9780008150570",""
"Jane Eyre","Selections from the Brontës : being extracts from the novels of Charlotte and Emily Brontë ; Shirley ; Villette ; Wuthering Heights","000485769","Monograph","Language material ; Text","Volume","","","","","","","","Treble, H. A. (Henry Arthur), 1877-, editor [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Cambridge","University Press","1927","","xxviii, 183 pages, 19 cm (8°)","","012638.aa.52","","","English","Selections from Villette, Jane Eyre, and Shirley, by Charlotte Brontë; and Wuthering Heights, by Emily Brontë",""
"Jane Eyre","Shirley ; Tenant of Wildfell Hall ; The Brontë sisters : Wuthering Heights ; Wuthering Heights","012629906","Monograph","Language material ; Text","Volume","GB8038510","","9780706413489","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Octopus","1980","","1212 pages, 22 cm","823.808","X.989/88542","Fiction in English--1837-1900--Anthologies ; English fiction--19th century","","English","",""
"Jane Eyre","Tenant of Wildfell Hall ; The Brontë Sisters : Wuthering Heights ; The tenant of Wildfell Hall ; Jane Eyre ; Wuthering Heights","012630018","Monograph","Language material ; Text","Volume","GB8302374","","9780706418002","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Treasury of world masterpieces","","England","London","Octopus","1982","","815 pages, illustrations, 25 cm","823.808","X.950/16850 ; YK.1987.b.2310","Fiction in English--1837-1900--Anthologies ; English fiction--19th century","","English","",""
"Jane Eyre","Tenant of Wildfell Hall ; The Brontë sisters ; Villette ; Wuthering Heights","017802403","Monograph","Language material ; Text","Volume","GBB650819","","9780241248768","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Penguin","2016","","4 volumes, 20 cm","823.808","","","","English","Boxed",""
"Jane Eyre","Tenant of Wildfell Hall ; The Penguin Brontë sisters ; Wuthering Heights","006718532","Monograph","Language material ; Text","Volume","GB8436519","","9780140090154","","","","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Harmondsworth","Penguin","1984","","109 pages, 21 cm","823.808","X.950/34912","Fiction in English--1837-1900--Anthologies ; English fiction--19th century","","English","",""
"Jane Eyre","Tenant of Wildfell Hall ; Three great novels ; Wuthering Heights","006719579","Monograph","Language material ; Text","Volume","GB9412699","","9780192822857","Brontë, Charlotte","1816-1855","person","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Oxford","Oxford University Press","1994","","viii, 933 pages, 20 cm","823.8","H.94/1526","English fiction--Women authors ; English fiction--19th century","","English","Title from cover",""
"Jane Eyre","Tenant of Wildfell Hall ; Wuthering heights","007039260","Monograph","Language material ; Text","Volume","GB97Y8077","","9780708989647","Brontë, Anne","1820-1849","person","","Brontë, Anne, 1820-1849 [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","Leicester","Charnwood","1997","Large print edition","1 volume, 24 cm","823.808","","Large type books ; English fiction--19th century","","English","",""
"Jane Eyre","The Great writers : their lives, works and inspiration. Vol.1. Part 3. Charlotte Brontë : Jane Eyre","005630605","Monograph","Language material ; Text","Sheet","GB9105536","","9780863076664","","","","","Brontë, Charlotte, 1816-1855 [person]","","","England","London","Marshall Cavendish","1987","","1 portfolio, illustrations (some colour), portraits (some colour), facsimiles, 30 cm","823.8","","English fiction","","English","Title from pamphlet",""
"Jane Eyre","Wide Sargasso Sea","009025994","Monograph","Language material ; Text","Volume","GB6620741","","","Rhys, Jean","","person","","Rhys, Jean [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","André Deutsch","1966","","189 pages, 21 cm","823.91","Nov.9079","","","English","Prequel to: Jane Eyre / Charlotte Brontë",""
"Jane Eyre","Wide Sargasso Sea","011954304","Monograph","Language material ; Text","Volume","GBA228184","","9780393960129","Rhys, Jean","","person","","Raiskin, Judith L. [person] ; Rhys, Jean [person] ; Brontë, Charlotte, 1816-1855 [person]","A Norton critical edition","","England ; United States of America","London ; New York","W.W. Norton","1999","","xiii, 270 pages, illustrations, 1 map, 1 portrait, 22 cm","823.912","H.2002/1750","British--West Indies--Fiction ; Creoles--West Indies--Fiction ; Man-woman relationships--West Indies--Fiction ; West Indies--Social life and customs--19th century--Fiction","Fiction","English","Prequel to: Jane Eyre, by Charlotte Brontë",""
"Jane Eyre","Wuthering Heights ; Wuthering heights : Jane Eyre","011400591","Monograph","Language material ; Text","Volume","GB9322646","","9781851523030","Brontë family","","person","","Brontë family [person] ; Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","","","England","London","Chancellor","1992","","527 pages, 23 cm","823.8","NOV.1993/643","English fiction","","English","",""
"Jane Eyre","Wuthering Heights","015455389","Monograph","Language material ; Text","Volume","GBB002128","","9780754822240","Brontë, Charlotte","1816-1855","person","","Brontë, Emily, 1818-1848 [person] ; Brontë, Charlotte, 1816-1855 [person]","Classic library","","England","London","Lorenz","2010","","1 volume, colour illustrations, 24 cm","823.8","","Rejection (Psychology)--Juvenile fiction ; Children's stories, English ; Heathcliff, (Fictitious character from Brontë)--Juvenile fiction ; Foundlings--Juvenile fiction ; Eyre, Jane (Fictitious character)--Juvenile fiction ; England--Social life and customs--Juvenile fiction ; Governesses--England--Juvenile fiction ; Triangles (Interpersonal relations)--Juvenile fiction","Children's fiction","English","",""
