"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Two tales","","006737582","Monograph","Language material ; Text","Volume","GB7838663","","9780826202321 ; 9780826202451","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Holtz, William [person]","","","England","Columbia ; London","University of Missouri Press","1978","","144 pages, illustrations, 1 map, 1 portrait, 27 cm","823.8","X.981/21301","Brontë, Charlotte, 1816-1855--Manuscripts ; Fiction in English--1837-1900--Texts","","English","Also available in a limited edition of 300 numbered copies signed by the editor, and in a slipcase",""
"Two tales","","006826142","Monograph","Language material ; Text","Volume","","","9780826202321 ; 9780826202451","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Holtz, William [person]","","","England","Columbia ; London","University of Missouri Press","1978","","144 pages, illustrations, 1 map, 1 portrait, 27 cm","823.8","78/21158","Fiction in English--1837-1900--Texts","","English","",""
"Two tales","Lily Hart ; The secret ; &, Lily Hart : two tales","008100025","Monograph","Language material ; Text","Volume","GB8000340","","9780826202680","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person] ; Holtz, William [person]","","","England","Columbia ; London","University of Missouri Press","1979","","95 pages, illustrations, 1 map, portraits, 19 cm","823.8","X.908/42768","Brontë, Charlotte, 1816-1855--Manuscripts--Facsimiles ; Fiction in English--1837-1900--Texts ; Manuscripts, English--Facsimiles","","English","Includes facsimile reprints of the original manuscript ; This collection originally published: as 'Two tales'. 1978",""
"Understanding Jane Eyre : a student casebook to issues, sources, and historical documents","","009404563","Monograph","Language material ; Text","Volume","GBA153158","","9780313309397","Teachman, Debra","1955-","person","","Teachman, Debra, 1955- [person]","The Greenwood Press 'Literature in context' series","","England","London ; Westport, Connecticut","Greenwood","2001","","xvii, 212 pages, illustrations, 25 cm","823.8","YC.2001.a.14346","Brontë, Charlotte, 1816-1855--Sources ; Literature and history--England--History--19th century--Sources ; Governesses in literature","Source","English","",""
"Understanding Jane Eyre : a student casebook to issues, sources, and historical documents","","009821987","Monograph","Language material ; Text","Volume","","","9780313309397","Teachman, Debra","1955-","person","","Teachman, Debra, 1955- [person]","Greenwood Press 'Literature in context' series","","United States of America","Westport, Connecticut","Greenwood","2001","","","823.8","m01/27633","Brontë, Charlotte, 1816-1855--Sources ; Literature and history--England--History--19th century--Sources ; Governesses in literature","","English","",""
"Unpublished essays in novel writing by Charlotte Brontë","","002326819","Monograph","Language material ; Text","Volume","","","","McLean, George Edwin","1850-1938","person","","McLean, George Edwin, 1850-1938 [person]","","","England","Bradford","Field","1916","","8 pages","","011853.ppp.18","Brontë, Charlotte, 1816-1855","","English","reprinted from Brontë society publications, part 26",""
"Unquiet soul : a biography of Charlotte Brontë","","010686424","Monograph","Language material ; Text","Volume","GB7611558","","9780340200872","Peters, Margot","","person","","Peters, Margot [person]","","","England","London","Hodder & Stoughton","1975","","xvii, 460 pages, 24 pages of plates, illustrations, facsimiles, portraits, 24 cm","823.8","75/18461 ; X.981/20192","Brontë, Charlotte, 1816-1855 ; Fiction in English--Brontë, Charlotte--1816-1855--Biographies","","English","Also published: Garden City, N.Y. : Doubleday, 1975 ; bibliography: p.443-449. _ Includes index",""
"Unquiet soul : a biography of Charlotte Brontë","","010691345","Monograph","Language material ; Text","Volume","GB8707889","","9780340406700","Peters, Margot","","person","","Peters, Margot [person]","","","England","London","Hodder & Stoughton","1987","","1 volume, illustrations, facsimiles, portraits","823.8","YC.1987.b.4409","Brontë, Charlotte, 1816-1855 ; Fiction in English--Brontë, Charlotte--1816-1855--Biographies","","English","",""
"Verdopolis : Glanz und Herrlichkeit : eine Geschichte aus der Glass Town Saga","High life in Verdopolis. German","011163065","Monograph","Language material ; Text","Volume","","","9783852860367","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","","","Austria","Wien","Milena","1997","","xxix, 156 pages, 12 pages of plates, illustrations (some colour), 21 cm","","YA.2002.a.1378","","","German","",""
"Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","017856366","Monograph","Language material ; Text","Volume","GBB669304","","9781137590602","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","","","United States of America","New York","Palgrave Macmillan","2016","","1 volume, 21 cm","813.009352352","","English literature--19th century--Influence ; Melodrama--History and criticism ; Brontë, Charlotte, 1816-1855 ; American fiction--21st century--History and criticism ; Melodrama in motion pictures ; Heroines in literature ; Girls in literature ; Meyer, Stephenie, 1973-","","English","",""
