"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.809","010698305","Monograph","Language material ; Text","Volume","GBA2W3033","","9780582327276","Ingham, Patricia","","person","","Ingham, Patricia [person]","The Brontës","","Longman critical readers","","England","London","Longman","2003","","viii, 278 pages, 24 cm","YC.2003.a.21690","Brontë, Emily, 1818-1848--Criticism and interpretation ; English fiction--19th century--History and criticism ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.809","010951791","Monograph","Language material ; Text","Volume","GB6918720","","9780237350246","Sherry, Norman","","person","","Sherry, Norman [person]","Charlotte and Emily Brontë","","Literature in perspective","","England","London","Evans","1969","","144 pages, 4 plates, illustrations, facsimiles, 19 cm","","Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","paperback 8/6. sbn 237 35025 4",""
"823.809","011625502","Monograph","Language material ; Text","Volume","GBA3V7618","","9781403901125","Chitham, Edward","","person","","Chitham, Edward [person]","A Brontë family chronology","","Author chronologies","","England","Basingstoke","Palgrave Macmillan","2003","","xii, 318 pages, illustrations, 23 cm","YC.2005.a.5546 ; m03/41316","Authors, English--19th century--Chronology ; Brontë, Charlotte, 1816-1855--Chronology ; Women authors, English--Chronology ; Brontë, Emily, 1818-1848--Chronology ; Brontë family--Chronology ; English literature--19th century--Chronology ; Brontë, Anne, 1820-1849--Chronology","Chronology","English","",""
"823.809","012611227","Monograph","Language material ; Text","Volume","GB9640300","","9780415134613","","","","","Allott, Miriam Farris, editor [person]","The Brontës : the critical heritage","","Critical heritage series","","England","London","Routledge","1995","","xx, 475 pages, 23 cm","YC.1996.a.2688","Brontë, Emily, 1818-1848--Criticism and interpretation--History--19th century ; Brontë, Anne, 1820-1849--Criticism and interpretation--History--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation--History--19th century ; Brontë family ; English fiction","","English","bibliography: p. 461-463. - Includes index",""
"823.809","012619656","Monograph","Language material ; Text","Volume","GB8421478","","9780416365108 ; 9780416365207","Chase, Karen","1952-","person","","Chase, Karen, 1952- [person]","Eros & psyche : the representation of personality in Charlotte Brontë, Charles Dickens and George Eliot","","","","England ; United States of America","London ; New York","Methuen","1984","","213 pages, 23 cm","X.950/39494 ; X.950/47672","English fiction--Psychological aspects ; Fiction in English--Brontë, Charlotte; Dickens, Charles--1812-1870--& Eliot, George--Psychological aspects ; Dickens, Charles, 1812-1870--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Eliot, George, 1819-1880--Criticism and interpretation","","English","Includes index",""
"823.809","013046458","Monograph","Language material ; Text","Volume","GBA484404","","9781403946973 ; 9781403946980","Eagleton, Terry","1943-","person","author","Eagleton, Terry, 1943-, author [person]","Myths of power : a Marxist study of the Brontës","","","","England","Basingstoke","Palgrave Macmillan","2005","Anniversary edition","xxix, 148 pages, 23 cm","YC.2005.a.4454","Brontë, Anne, 1820-1849--Criticism and interpretation ; Women and literature--England--History--19th century ; Marxist criticism ; Brontë family ; Power (Social sciences) in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Literature and society--England--History--19th century","","English","",""
"823.809","013325960","Monograph","Language material ; Text","Volume","GBA592202","","9780192840356","Ingham, Patricia","","person","author","Ingham, Patricia, author [person]","The Brontës","","Oxford world's classics. Authors in context","","England","Oxford","Oxford University Press","2006","","xix, 273 pages, illustrations, 20 cm","YC.2008.a.9992","Brontë, Anne, 1820-1849--Criticism and interpretation ; Women novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation","Biography","English","",""
"823.809","013829262","Monograph","Language material ; Text","Volume","GBA769035","","9780826486721 ; 9780826486738","White, Kathryn, Museum curator","","person","","White, Kathryn, Museum curator [person]","The bedside, bathtub & armchair companion to the Brontës","","","","England","London","Continuum","2007","","1 volume, illustrations, 24 cm","","Women--England--Social conditions--19th century ; Yorkshire (England)--History--19th century ; Brontë, Emily, 1818-1848 ; Women and literature--England--History--19th century ; Women authors, English--19th century--Biography ; Brontë, Anne, 1820-1849 ; Brontë, Charlotte, 1816-1855 ; Yorkshire (England)--In literature ; Authors, English--19th century--Biography ; English literature--19th century--History and criticism","Biography","English","",""
"823.809","013874448","Monograph","Language material ; Text","Volume","","","","Martin, Hazel T.","","person","","Martin, Hazel T. [person]","Petticoat rebels : a study of the novels of social protest of George Eliot, Elizabeth Gaskell and Charlotte Brontë","","","","United States of America","New York","Helios","1968","1st edition","112 pages, 22 cm","A71/5006","Literature and society--Great Britain--History--19th century ; Gaskell, Elizabeth Cleghorn, 1810-1865--Political and social views ; Social problems in literature ; Eliot, George, 1819-1880--Political and social views ; Brontë, Charlotte, 1816-1855--Political and social views","","English","",""
"823.809","014537856","Monograph","Language material ; Text","Volume","GBA826028","","9781906229566","Dale, Sue","","person","","Dale, Sue [person]","Brontë sisters gift pack","","","","England","Swindon","Green Umbrella","2008","","1 volume, illustrations, 32 cm","","Yorkshire (England)--In literature ; Brontë, Emily, 1818-1848 ; Brontë, Anne, 1820-1849 ; Women novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855 ; Novelists, English--19th century--Biography","Biography","English","Includes DVD",""
"823.809","014576105","Monograph","Language material ; Text","Volume","GBA852610","","9781906229597","Wollaston, Emily","","person","author","Wollaston, Emily, author [person]","Little book of the Brontë sisters","Brontë sisters","","","England","Swindon","Green Umbrella","2008","","95 pages, illustrations (chiefly colour), portraits (some colour), 16 cm","YK.2010.a.2744","Brontë, Emily, 1818-1848 ; Novelists, English--19th century--Biography ; Women novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855","Biography","English","",""
"823.809","014595388","Monograph","Language material ; Text","Volume","GBA858646","","9780199536665","Ingham, Patricia","","person","","Ingham, Patricia [person]","The Brontës","","Authors in context ; Oxford world's classics","","England","Oxford","Oxford University Press","2008","","xix, 273 pages, illustrations, portraits, 20 cm","","Brontë, Anne, 1820-1849--Criticism and interpretation ; Women novelists, English--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation","","English","Includes index ; Originally published: 2006",""
"823.809","014783486","Monograph","Language material ; Text","Volume","GBA8C1889","","9780791097946","Brackett, Virginia","","person","author","Brackett, Virginia, author [person]","Bloom's how to write about the Brontës","Brontës ; How to write about the Brontës","Bloom's how to write about literature series","","England ; United States of America","London ; New York","Bloom ; Eurospan","2009","","vi, 281 pages, 24 cm","YK.2009.a.31903","Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Criticism--Authorship ; Report writing ; Brontë, Emily, 1818-1848--Criticism and interpretation","","English","",""
"823.809","014791444","Monograph","Language material ; Text","Volume","GBA8C9956","","9780801447075","Corbett, Mary Jean","1962-","person","author","Corbett, Mary Jean, 1962-, author [person]","Family likeness : sex, marriage, and incest from Jane Austen to Virginia Woolf","","","","England ; United States of America","Ithaca ; London","Cornell University Press","2008","","xiv, 264 pages, 25 cm","YC.2009.a.4026 ; m08/.35260","Austen, Jane, 1775-1817--Criticism and interpretation ; English fiction--Women authors--History and criticism ; English fiction--19th century--History and criticism ; Family in literature ; Incest in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Sex in literature ; Marriage in literature ; Woolf, Virginia, 1882-1941--Criticism and interpretation","","English","",""
"823.809","015623771","Monograph","Language material ; Text","Volume","GBB095469","","9780801476631","Corbett, Mary Jean","1962-","person","","Corbett, Mary Jean, 1962- [person]","Family likeness : sex, marriage, and incest from Jane Austen to Virginia Woolf","","","","England ; United States of America","Bristol ; Ithaca, New York","Cornell University Press ; University Presses Marketing","2010","","1 volume, 24 cm","","Austen, Jane, 1775-1817--Criticism and interpretation ; English fiction--Women authors--History and criticism ; Families in literature ; English fiction--19th century--History and criticism ; Incest in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Sex in literature ; Marriage in literature ; Woolf, Virginia, 1882-1941--Criticism and interpretation","","English","Originally published: 2008",""
"823.809","015809283","Monograph","Language material ; Text","Volume","GBB159463","","9781409426530","Scholl, Lesa","","person","","Scholl, Lesa [person]","Translation, authorship, and the Victorian professional woman : Charlotte Brontë, Harriet Martineau and George Eliot","","","","England ; United States of America","Farnham","Ashgate","2011","","vii, 213 pages, 24 cm","YC.2011.a.12345","Literature and society--Great Britain--History--19th century ; English fiction--Women authors--History and criticism ; Martineau, Harriet, 1802-1876--Criticism and interpretation ; Translating and interpreting--England--History--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Women editors--Great Britain ; English fiction--19th century--History and criticism ; Eliot, George, 1819-1880--Criticism and interpretation","","English","",""
"823.809","015841322","Monograph","Language material ; Text","Volume","GBB180693","","9780415688079","Craik, W. A.","","person","author","Craik, W. A., author [person]","The Brontë novels","","Routledge revivals","","England","London","Routledge","2011","","266 pages, 20 cm","YC.2012.a.13256","English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.809","015856985","Monograph","Language material ; Text","Volume","GBB189845","","9780415687904","Craik, W. A.","","person","","Craik, W. A. [person]","The Brontë novels","","Routledge revivals","","England","London","Routledge","2011","","266 pages","","English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.809","016188576","Monograph","Language material ; Text","Volume","GBB302828","","9780957377202","MacEwan, Helen","","person","author","MacEwan, Helen, author [person]","Down the Belliard steps : discovering the Brontës in Brussels","","","","England","Hythe, Kent","Brussels Brontë","2012","","viii, 146 pages, illustrations (some colour), map, portraits (some colour), photos (some colour), 24 cm","YK.2013.a.18100","Brontë, Emily, 1818-1848--Homes and haunts--Belgium--Brussels ; Brussels (Belgium)--Description and travel ; Literary landmarks--Belgium--Brussels ; Brontë, Charlotte, 1816-1855--Homes and haunts--Belgium--Brussels","","English","",""
"823.809","016225079","Monograph","Language material ; Text","Volume","GBB2C2352","","9780711233980","Dinsdale, Ann","","person","","Dinsdale, Ann [person] ; Warner, Simon, 1951- [person]","The Brontës at Haworth","","","","England","London","Frances Lincoln","2013","","160 pages, illustrations, 25 cm","","Brontë, Emily, 1818-1848 ; Brontë, Charlotte, 1816-1855 ; Haworth (England)--Social life and customs--19th century ; Novelists, English--19th century--Biography ; Novelists, English--19th century--Homes and haunts--England--Haworth ; Haworth (England)--History--19th century","Biography","English","",""
"823.809","016606251","Monograph","Language material ; Text","Volume","GBB5G1433","","9780720615883","MacEwan, Helen","","person","author","MacEwan, Helen, author [person]","The Brontës in Brussels","","","","England","London","Peter Owen","2014","","218 pages, illustrations (some colour), 22 cm","YK.2015.a.4025","Brontë family ; Brontë, Emily, 1818-1848--Homes and haunts--Belgium--Brussels ; Brontë, Charlotte, 1816-1855--Homes and haunts--Belgium--Brussels","","English","",""
"823.809","016608844","Monograph","Language material ; Text","Volume","GBB408427","","9781138779228","Chase, Karen","1952-","person","author","Chase, Karen, 1952-, author [person]","Eros and psyche : the representation of personality in Charlotte Bronte, Charles Dickens, George Eliot","","Routledge revivals","","England","London","Routledge","2014","","x, 213 pages, 22 cm","","English fiction--Psychological aspects ; Dickens, Charles, 1812-1870--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Eliot, George, 1819-1880--Criticism and interpretation","","English","",""
"823.809","016762186","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB466404","","9781317675464","Chase, Karen","1952-","person","author","Chase, Karen, 1952-, author [person]","Eros and psyche : the representation of personality in Charlotte Bronte, Charles Dickens, George Eliot","","Routledge revivals","","England","London","Routledge","2014","","1 online resource","","English fiction--Psychological aspects ; Dickens, Charles, 1812-1870--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Eliot, George, 1819-1880--Criticism and interpretation","","English","Additional physical form: Print version. 9781138779228 ; Previously issued in print: 2014",""
"823.809","016776436","Monograph","Language material ; Text","Volume","GBB470024","","9781317881612 ; 9781317881629 ; 9781317881636","","","","","Ingham, Patricia, editor [person]","The Brontës","","Longman critical readers","","England","London","Routledge","2014","","1 online resource","","Brontë, Emily, 1818-1848--Criticism and interpretation ; English fiction--19th century--History and criticism ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","Previously issued in print: 2002",""
"823.809","016795172","Monograph","Language material ; Text","Volume","GBB475046","","9781847772466","","","","","Brontë, Emily, 1818-1848 [person] ; Spark, Muriel, author [person] ; Brontë, Charlotte, 1816-1855 [person] ; Brontë, Anne, 1820-1849 [person]","The essence of the Brontës : a compilation with essays","Works","","","England","Manchester","Carcanet","2014","","319 pages, 22 cm","YC.2015.a.11725","Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Emily, 1818-1848--Correspondence ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Correspondence ; Brontë, Anne, 1820-1849--Correspondence ; Brontë, Emily, 1818-1848--Criticism and interpretation","Correspondence","English","",""
"823.809","016912836","Monograph","Language material ; Text","Volume","GBB4B9441","","9781137405142","","","","","Qi, Shouhua, 1957-, editor [person] ; Padgett, Jacqueline, 1950-, editor [person]","The Brontë Sisters in Other Wor (l) ds","","","","United States of America","New York","Palgrave Macmillan","2014","First edition","215 pages, 23 cm","YC.2015.a.14364","English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","Additional physical form: ebook version. 9781137405159",""
"823.809","016914343","Monograph","Language material ; Text","Online resource (PDF ebook)","GBB4C0943","","9781137405159","","","","","Qi, Shouhua, 1957-, editor [person] ; Padgett, Jacqueline, 1950-, editor [person]","The Brontë Sisters in Other Wor (l) ds","","","","England","Basingstoke","Palgrave Macmillan","2014","","1 online resource","","English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","Additional physical form: Print version. 9781137405142",""
"823.809","017153625","Monograph","Language material ; Text","Volume","GBB544815","","9780393240085","Lutz, Deborah","","person","author","Lutz, Deborah, author [person]","The Brontë cabinet : three lives in nine objects","","","","United States of America","New York","W. W. Norton","2015","First edition","xxv, 310 pages, 25 cm","YC.2015.a.9788","Brontë, Emily, 1818-1848 ; Women authors, English--19th century--Biography ; Brontë, Anne, 1820-1849 ; Brontë, Charlotte, 1816-1855 ; Sisters--England--Yorkshire--Biography","Biography","English","",""
"823.809","017185502","Monograph","Language material ; Text","Online resource (ebook)","GBB559928","","9781472424402 ; 9781472424419","Laird, Karen E.","","person","author","Laird, Karen E., author [person]","The art of adapting Victorian literature, 1848-1920 : Dramatizing Jane Eyre, David Copperfield, and The woman in white, 1848-1920","","","","England","Farnham","Ashgate","2015","","1 online resource","","Dickens, Charles, 1812-1870 ; English fiction--19th century--Adaptations ; Brontë, Charlotte, 1816-1855 ; Collins, Wilkie, 1824-1889","Adaptation","English","Additional physical form: Print version. 9781472424396",""
"823.809","017470352","Monograph","Language material ; Text","Volume","GBB5A3954","","9781138779259","Chase, Karen","1952-","person","author","Chase, Karen, 1952-, author [person]","Eros and psyche : the representation of personality in Charlotte Bronte, Charles Dickens, George Eliot","","Routledge revivals","","England","London","Routledge","2015","","1 volume, 22 cm","","English fiction--Psychological aspects ; Dickens, Charles, 1812-1870--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Eliot, George, 1819-1880--Criticism and interpretation","","English","",""
"823.809","017693858","Monograph","Language material ; Still image ; Text","Volume","GBB602285","","9781445147314","Manning, Mick","","person","author","Manning, Mick, author [person] ; Granström, Brita, author [person]","The Brontës : children of the Moors : a picture book","","","","England","London","Franklin Watts","2016","","1 volume, illustrations, 24 x 30 cm","","Brontë, Emily, 1818-1848--Pictorial works--Juvenile literature ; Brontë, Charlotte, 1816-1855--Pictorial works--Juvenile literature ; Brontë, Anne, 1820-1849--Pictorial works--Juvenile literature","Children's literature ; Pictorial work","English","",""
"823.809","017725722","Monograph","Language material ; Text","Volume","GBB616060","","9781408708316","Barker, Juliet R. V.","","person","author","Barker, Juliet R. V., author [person]","The Brontës : a life in letters","","","","England","London","Little, Brown","2016","","xxxix, 418 pages, 16 unnumbered pages of plates, illustrations, 24 cm","","Novelists, English--19th century--Correspondence ; Brontë, Emily, 1818-1848--Correspondence ; Brontë, Charlotte, 1816-1855--Correspondence ; Brontë, Anne, 1820-1849--Correspondence ; Brontë family--Correspondence","Correspondence","English","Additional physical form: ebook version. 9781408708309 ; First published: London: Viking, 1997 ; Includes indexes",""
"823.809","017737453","Monograph","Language material ; Text","Volume","GBB620520","","9780393352702","Lutz, Deborah","","person","author","Lutz, Deborah, author [person]","The Brontë cabinet : three lives in nine objects","","","","United States of America","New York","W.W. Norton","2016","","1 volume","","Brontë, Anne, 1820-1849 ; Women authors, English--19th century ; Brontë, Charlotte, 1816-1855 ; Brontë, Emily","","English","Originally published: 2015",""
"823.809","017773413","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB639305","","9781317044499","Laird, Karen E.","","person","author","Laird, Karen E., author [person]","The art of adapting Victorian literature, 1848-1920 : dramatizing Jane Eyre, David Copperfield, and The woman in white","","","","England","London","Routledge","2016","","1 online resource","ELD.DS.52713","Dickens, Charles, 1812-1870 ; English fiction--19th century--Adaptations ; Brontë, Charlotte, 1816-1855 ; Collins, Wilkie, 1824-1889","","English","Additional physical form: Print version. 9781472424396 ; Previously issued in print: Farnham: Ashgate, 2015",""
"823.809","017785652","Monograph","Language material ; Text","Online resource","GBB6H9801","","9781317007081","Scholl, Lesa","","person","author","Scholl, Lesa, author [person]","Translation, Authorship and the Victorian Professional Woman : Charlotte Brontë, Harriet Martineau and George Eliot","","","","","","Routledge","2016","","1 online resource (222 pages)","ELD.DS.50887","Literature and society--Great Britain--History--19th century ; English fiction--Women authors--History and criticism ; Martineau, Harriet, 1802-1876--Criticism and interpretation ; Translating and interpreting--England--History--19th century ; Bront©±, Charlotte, 1816-1855--Criticism and interpretation ; Women editors--Great Britain ; English fiction--19th century--History and criticism ; Eliot, George, 1819-1880--Criticism and interpretation","","English","",""
"823.809","017797822","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB649249","","9781408708309","Barker, Juliet R. V.","","person","author","Barker, Juliet R. V., author [person]","The Brontës : a life in letters","","","","England","London","Little, Brown","2016","","1 online resource","ELD.DS.64128","Novelists, English--19th century--Correspondence ; Brontë, Emily, 1818-1848--Correspondence ; Brontë, Charlotte, 1816-1855--Correspondence ; Brontë, Anne, 1820-1849--Correspondence ; Brontë family--Correspondence","Correspondence","English","Additional physical form: Print version. 9781408708316 ; First published: London: Viking, 1997 ; Includes indexes",""
"823.809","017843640","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB665754","","9781118405475","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","A companion to the Brontës","","Blackwell companions to literature and culture","","England","Chichester, West Sussex","Wiley Blackwell","2016","1st","1 online resource","ELD.DS.61788","Brontë, Emily, 1818-1848--Criticism and interpretation ; Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë, Charlotte, 1816-1855--Criticism and interpretation","","English","",""
"823.809","017861723","Monograph","Language material ; Text","Volume","GBB671974","","9781118404942","","","","","Hoeveler, Diane Long, editor [person] ; Morse, Deborah Denenholz, 1949-, editor [person]","A companion to the Brontës","","Blackwell companions to literature and culture","","England","Chichester, West Sussex","Wiley Blackwell","2016","","1 volume, 25 cm","","Brontë, Anne, 1820-1849--Criticism and interpretation ; Brontë family ; Women novelists, English--England--Haworth--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Brontë, Emily, 1818-1848--Criticism and interpretation","","English","",""
"823.809","017941023","Monograph","Language material ; Text","Online resource","GBB6I2599","","9780748694594 ; 9781322059839","Staten, Henry","1946-","person","author","Staten, Henry, 1946-, author [person]","Spirit Becomes Matter : the Brontë̈s, George Eliot, Nietzsche","","Edinburgh critical studies in Victorian culture","","Scotland","Edinburgh","Edinburgh University Press","2014","","1 online resource (ix, 189 pages)","ELD.DS.69497","Nietzsche, Friedrich (Friedrich Wilhelm), 1844-1900 ; Eliot, George, pseudonym van Mary Ann Evans ; Brontë, Emily, 1818-1848 ; Brontë, Charlotte, 1816-1855 ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Literary Criticism--Semiotics & Theory ; Brontë, Emily (Emily Jane), 1818-1848 ; English fiction--19th century--History and criticism--Theory, etc ; Nietzsche, Friedrich Wilhelm, 1844-1900 ; Eliot, George, 1819-1880 ; Literary studies: fiction, novelists & prose writers","","English","",""
"823.809","018001369","Monograph","Language material ; Still image ; Text","Volume","GBB6C4923","","9781785781438","Sutherland, John","1938-","person","author","Sutherland, John, 1938-, author [person]","The Brontësaurus : an A-Z of Charlotte, Emily & Anne Brontë (& Branwell)","","","","England","London","Icon","2016","","x, 198 pages, black and white illustrations, 21 cm","YC.2017.a.12634","Brontë, Emily, 1818-1848--Encyclopedias ; Brontë, Charlotte, 1816-1855--Encyclopedias ; Authors, English--19th century--Encyclopedias ; Brontë, Anne, 1820-1849--Encyclopedias ; Brontë family--Encyclopedias ; Brontë, Patrick Branwell, 1817-1848--Encyclopedias","Encyclopaedia","English","Additional physical form: ebook version. 9781785781445",""
"823.809","018223627","Monograph","Language material ; Text","Online resource","GBB726009","","9780720614442 ; 9780720614466","MacEwan, Helen","","person","","MacEwan, Helen [person]","The Brontës in Brussels","","","","England","London","Peter Owen","2014","","1 online resource (211 pages)","ELD.DS.117441","Brontë, Emily, 1818-1848--Homes and haunts--Belgium--Brussels ; Literary landmarks--Belgium--Brussels ; Brontë, Charlotte, 1816-1855 ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Travel ; Brussels (Belgium)--Description and travel ; Brontë, Charlotte, 1816-1855--Homes and haunts--Belgium--Brussels","","English","",""
"823.809","018496648","Monograph","Language material ; Still image ; Text","Volume","GBB7G0307","","9781785782596 ; 9781785783630","Sutherland, John","1938-","person","author","Sutherland, John, 1938-, author [person]","The Brontësaurus : an A-Z of Charlotte, Emily & Anne Brontë (and Branwell)","","","","England","London","Icon","2017","","x, 198 pages, black and white illustrations, 20 cm","","Brontë, Emily, 1818-1848--Encyclopedias ; Brontë, Charlotte, 1816-1855--Encyclopedias ; Authors, English--19th century--Encyclopedias ; Brontë, Anne, 1820-1849--Encyclopedias ; Brontë family--Encyclopedias ; Brontë, Patrick Branwell, 1817-1848--Encyclopedias","Encyclopaedia","English","Originally published: 2016",""
"823.809","018511699","Monograph","Language material ; Text","Online resource","GBB7H3227","","9781446426210","Miller, Lucasta","","person","","Miller, Lucasta [person]","The Brontë myth","","","","England ; United Kingdom","London","Vintage Digital","2013","","1 online resource (336 pages)","ELD.DS.183680","Literary studies: c 1800 to c 1900 ; Popular beliefs & controversial knowledge ; Haworth (England)--Biography ; Brontë, Emily, 1818-1848 ; Biographie ; Brontë, Anne, 1820-1849 ; Women novelists, English--Biography ; Brontë, Charlotte, 1816-1855 ; Brontë family ; SOCIAL SCIENCE / Customs & Traditions ; Brontë, Familie ; Novelists, English--19th century--Biography ; SOCIAL SCIENCE / Popular Culture ; England--Haworth ; Brontë (Familie) ; Literary studies: fiction, novelists & prose writers","Biography","English","",""
"823.809","018547039","Monograph","Language material ; Text","Online resource","GBB7J9033","","9781351220125","Gaskell, Elizabeth Cleghorn","1810-1865","person","author","Gaskell, Elizabeth Cleghorn, 1810-1865, author [person] ; Peterson, Linda H., editor [person]","The works of Elizabeth Gaskell. Volume 8. The life of Charlotte Brontë","Life of Charlotte Brontë","The Pickering masters","","United Kingdom","Abingdon, Oxfordshire","Routledge","2017","","1 online resource","ELD.DS.201386","LITERARY CRITICISM / European / English, Irish, Scottish, Welsh ; Brontë, Charlotte, 1816-1855","","English","",""
"823.809","018646115","Monograph","Language material ; Text","Volume","GBB7O1917","","9781526703125","Rayner, Catherine","1950-","person","author","Rayner, Catherine, 1950-, author [person]","The Brontë sisters : life, loss and literature","","","","England","Barnsley","Pen & Sword History","2018","","vi, 248 pages, 8 unnumbered pages of plates, illustrations, 24 cm","YK.2018.a.7581","Brontë, Emily, 1818-1848 ; Brontë, Anne, 1820-1849 ; Women novelists, English--19th century--Biography ; Brontë, Charlotte, 1816-1855 ; Brontë family ; Novelists, English--19th century--Biography","Biography","English","Includes QR code",""
"823.809","018827772","Monograph","Language material ; Text","Volume","GBB864971","","9780233005546","O'Neill, Jane","","person","author","O'Neill, Jane, author [person]","The Brontës treasury","","","","England","London","Andre Deutsch","2018","","1 volume, 21 cm","","Brontë, Anne, 1820-1849--Criticism and interpretation ; Women novelists, English--19th century ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; English fiction--19th century--History and criticism ; Brontë, Emily, 1818-1848--Criticism and interpretation","","English","",""
"823.809","018864253","Monograph","Language material ; Text","Volume","GBB886756","","9781786937773 ; 9781786937780","Rayner, Catherine","1950-","person","author","Rayner, Catherine, 1950-, author [person]","Wild imaginings : a Brontë childhood","","","","England","London","Austin Macauley","2018","","280 pages, 14 unnumbered pages of plates, illustrations, 20 cm","YK.2019.a.973","Brontë, Emily, 1818-1848 ; Brontë, Anne, 1820-1849 ; Brontë, Patrick Branwell, 1817-1848 ; Brontë, Charlotte, 1816-1855 ; Women novelists, English--19th century--Biography ; Brontë family ; Haworth (England)--Social life and customs--19th century ; Novelists, English--19th century--Homes and haunts--England--Haworth","Biography","English","Additional physical form: ebook version. 9781786937797",""
"823.809","018865482","Monograph","Language material ; Text","Online resource (ebook)","GBB887985","","9781786937797","Rayner, Catherine","","person","author","Rayner, Catherine, author [person]","Wild imaginings : a Brontë childhood","","","","England","London","Austin Macauley","2018","","1 online resource","","Brontë, Emily, 1818-1848 ; Brontë, Anne, 1820-1849 ; Brontë, Patrick Branwell, 1817-1848 ; Brontë, Charlotte, 1816-1855 ; Women novelists, English--19th century--Biography ; Brontë family ; Haworth (England)--Social life and customs--19th century ; Novelists, English--19th century--Homes and haunts--England--Haworth","Biography","English","Additional physical form: Print version. 9781786937780",""
"823.809","018932986","Monograph","Language material ; Still image ; Text","Volume","GBB8C4925","","9781526722232","Holland, Nick","1971-","person","author","Holland, Nick, 1971-, author [person]","Aunt Branwell and the Brontë legacy","","","","England","Barnsley, South Yorkshire","Pen & Sword History","2018","","viii, 160 pages, 8 unnumbered pages of plates, illustrations, 24 cm","YK.2020.a.219","Branwell, Elizabeth ; Aunts--Great Britain--Biography ; Brontë, Emily, 1818-1848 ; Brontë, Anne, 1820-1849 ; Brontë, Charlotte, 1816-1855 ; Women authors, English--19th century--Family relationships ; Branwell, Elizabeth--Family","Biography","English","",""
